generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
35,4480,self,0.07288392260670662,0.021203553304076195,-137.7283706665039,0.11389509402215481,0.65625,4,27.163197994232178,-35.345863342285156,145.9110336303711,0.008689481765031815,0.07178222667425871,0.041445198468863964,0.1328125,0.6015625,0.47265625,-1.406249999999997e-05,0.0,0.0,0.46875,0.28125,0.6,0.1171875,0.0,0.0703125,0.0078125,0.0,0.1484375,0.0,0.078125,0.0,0.0,0.0,0.0,,3
35,4480,eval,0.07288392260670662,0.021203553304076195,-137.7283706665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,3
36,4608,self,0.06419996917247772,0.012391124153509736,-137.6300392150879,0.12889286316931248,0.701171875,4,27.120161056518555,-35.345863342285156,145.8557357788086,0.00820821791421622,0.08711138181388378,0.0380428209900856,0.109375,0.630859375,0.482421875,-0.0019250000000000005,0.0042968749999999995,0.0,0.890625,0.6953125,0.7807017543859649,0.0546875,0.0,0.140625,0.0390625,0.0,0.1953125,0.0,0.1953125,0.015625,0.03125,0.015625,0.0,,4
37,4736,self,0.13289397582411766,0.14203126728534698,-137.55612182617188,0.1375960074365139,0.705078125,4,27.09127426147461,-35.345863342285156,145.81071090698242,0.009045632323250175,0.08417283743619919,0.03759892378002405,0.12109375,0.646484375,0.4453125,-0.0141890625,0.0052734375,0.0,0.9921875,0.578125,0.5826771653543307,0.203125,0.0,0.2109375,0.0,0.0,0.3125,0.0390625,0.0859375,0.015625,0.046875,0.046875,0.0,,4
38,4864,self,0.07935629598796368,0.037701141089200974,-137.57815170288086,0.10617281123995781,0.66015625,4,27.145663738250732,-35.345863342285156,145.7783546447754,0.008674035896547139,0.07748573273420334,0.029206120409071445,0.138671875,0.6328125,0.41015625,-0.0010500000000000019,0.007031249999999999,0.0,2.921875,1.546875,0.5294117647058824,0.90625,0.0,0.46875,0.0234375,0.0234375,0.390625,0.046875,0.4140625,0.0390625,0.15625,0.0234375,0.0,,4
39,4992,self,0.07086899131536484,0.0822160430252552,-137.67390060424805,0.10743574425578117,0.669921875,4,27.238865852355957,-35.345863342285156,145.78089141845703,0.010893388418480754,0.07536724209785461,0.032478374894708395,0.171875,0.59765625,0.423828125,0.007479687500000002,0.010742187500000002,0.0,2.7734375,1.3671875,0.49295774647887325,1.21875,0.0,0.1875,0.046875,0.0,0.34375,0.15625,0.34375,0.03125,0.1171875,0.1015625,0.0,,4
40,5120,self,0.06733578816056252,0.062063795514404774,-137.76441192626953,0.12949769757688046,0.70703125,4,27.326383113861084,-35.345863342285156,145.78388595581055,0.007934798253700137,0.09029168263077736,0.03485507797449827,0.11328125,0.619140625,0.455078125,-0.007482812499999996,0.0001953125,0.0,0.484375,0.3984375,0.8225806451612904,0.0078125,0.0,0.078125,0.0,0.0,0.1171875,0.0,0.171875,0.015625,0.0078125,0.0,0.0,,4
40,5120,eval,0.06733578816056252,0.062063795514404774,-137.76441192626953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4
41,5248,self,0.07644556649029255,0.3113315775990486,-137.7818145751953,0.1665777638554573,0.73046875,4,27.36349058151245,-35.345863342285156,145.7641830444336,0.007977419067174196,0.12268413230776787,0.03348739165812731,0.10546875,0.6953125,0.43359375,-0.027351562500000006,0.0003906250000000001,0.0,0.4609375,0.3203125,0.6949152542372882,0.0078125,0.0,0.1328125,0.0,0.0,0.21875,0.0078125,0.0703125,0.0,0.03125,0.0,0.0,,4
42,5376,league,0.07805369980633259,0.30564720928668976,-137.80242919921875,0.11621269769966602,0.669921875,4,27.429553985595703,-35.345863342285156,145.71873474121094,0.007468769792467356,0.06745018716901541,0.031456971541047096,0.09375,0.55859375,0.419921875,0.0172453125,0.015625000000000003,0.0,2.9453125,1.125,0.3819628647214854,1.5625,0.0,0.2578125,0.046875,0.0,0.453125,0.0546875,0.234375,0.0,0.1640625,0.0,0.0,,4
43,5504,self,0.07491745427250862,0.44955701380968094,-137.7811622619629,0.10199376940727234,0.681640625,4,27.477858543395996,-35.345863342285156,145.64917373657227,0.008019535685889423,0.07001773919910192,0.031487257685512304,0.111328125,0.62890625,0.4453125,-0.03288124999999998,0.00019531249999999996,0.0,0.3359375,0.3203125,0.9534883720930233,0.0,0.0,0.015625,0.0,0.0,0.1953125,0.03125,0.078125,0.0,0.0078125,0.0,0.0,,4
44,5632,self,0.07225657068192959,1.2592879831790924,-137.82020568847656,0.10635188221931458,0.6796875,4,27.54107093811035,-35.345863342285156,145.625,0.009350548265501857,0.07456440478563309,0.03737358469516039,0.12109375,0.60546875,0.4765625,0.03184687499999999,0.032421874999999996,0.0,5.96875,1.359375,0.22774869109947643,4.234375,0.0,0.375,0.03125,0.0,0.484375,0.0625,0.671875,0.0390625,0.265625,0.03125,0.0,,4
45,5760,self,0.06653859838843346,0.015709165250882506,-137.8967170715332,0.111703647300601,0.658203125,4,27.590744495391846,-35.345863342285156,145.6518440246582,0.008959522820077837,0.07209586817771196,0.031916887033730745,0.1328125,0.5859375,0.3984375,-0.0005468750000000002,0.0,0.0,0.4765625,0.375,0.7868852459016393,0.0234375,0.0,0.078125,0.0078125,0.0,0.125,0.0078125,0.1328125,0.0078125,0.0,0.0,0.0,,4
45,5760,eval,0.06653859838843346,0.015709165250882506,-137.8967170715332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4
46,5888,self,0.11676640994846821,0.28491028398275375,-138.0258560180664,0.11098653450608253,0.6796875,4,27.626803874969482,-35.345863342285156,145.74491500854492,0.008950019720941782,0.07070794142782688,0.029699128586798906,0.12890625,0.59375,0.423828125,0.010717187500000001,0.019140625000000005,0.0,3.1484375,1.5078125,0.47890818858560796,1.375,0.0,0.265625,0.03125,0.0,0.4609375,0.0703125,0.609375,0.015625,0.1796875,0.0234375,0.0,,4
47,6016,league,0.102116284891963,0.16998383775353432,-138.06786346435547,0.10941343382000923,0.65625,4,27.66699504852295,-35.345863342285156,145.74673080444336,0.009488042211160064,0.06926130875945091,0.033585887867957354,0.119140625,0.58203125,0.427734375,-0.015820312499999996,0.0009765625000000002,0.0,0.78125,0.609375,0.78,0.0234375,0.0,0.1484375,0.015625,0.0,0.203125,0.015625,0.1796875,0.015625,0.0234375,0.0,0.0,,4
