generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,win_rate,league_size
35,4480,self,0.23414909839630127,0.12736555933952332,-138.53341674804688,0.43394988775253296,0.8359375,1,27.58960723876953,-35.345863342285156,146.2896728515625,0.006031250000000001,0.00859375,0.0,,5
35,4480,eval,0.23414909839630127,0.12736555933952332,-138.53341674804688,,,,,,,,,,0.75,5
36,4608,self,0.19767381250858307,0.503682017326355,-138.52276611328125,0.3883155584335327,0.875,1,27.58187484741211,-35.345863342285156,146.2867431640625,0.015189062500000001,0.021875,0.0,,5
37,4736,self,0.16948603093624115,0.040716469287872314,-138.53372192382812,0.38949260115623474,0.8203125,1,27.581275939941406,-35.345863342285156,146.29830932617188,-0.007784374999999998,0.007812500000000002,0.0,,5
38,4864,self,0.20517660677433014,0.005516622215509415,-138.5440673828125,0.35646969079971313,0.8203125,1,27.580923080444336,-35.345863342285156,146.30902099609375,0.0015859375,0.004296875,0.0,,5
39,4992,self,0.29383331537246704,0.006802886724472046,-138.5338134765625,0.3603712320327759,0.7890625,1,27.571685791015625,-35.345863342285156,146.3079833984375,-0.0008046875000000002,0.0,0.0,,5
40,5120,league,0.1945725977420807,0.07070214301347733,-138.5071258544922,0.29128319025039673,0.7734375,1,27.547340393066406,-35.345863342285156,146.3056640625,0.005890625000000001,0.010937500000000003,0.0,,5
40,5120,eval,0.1945725977420807,0.07070214301347733,-138.5071258544922,,,,,,,,,,0.25,5
41,5248,self,0.21837234497070312,0.12582457065582275,-138.484130859375,0.3151179552078247,0.7890625,1,27.525714874267578,-35.345863342285156,146.30426025390625,0.011870312499999997,0.010351562500000008,0.0,,5
42,5376,self,0.22756314277648926,0.2843210697174072,-138.47840881347656,0.3786746859550476,0.828125,1,27.523178100585938,-35.345863342285156,146.30108642578125,0.016596874999999997,0.019531249999999997,0.0,,5
43,5504,self,0.28361064195632935,0.1748870313167572,-138.46710205078125,0.41384193301200867,0.796875,1,27.508663177490234,-35.345863342285156,146.30430603027344,0.012164062500000003,0.013085937500000002,0.0,,5
44,5632,self,0.06322675198316574,0.020775869488716125,-138.44580078125,0.2574884593486786,0.84375,1,27.482080459594727,-35.345863342285156,146.30958557128906,-0.002915625000000002,0.0,0.0,,5
45,5760,self,0.1707148551940918,0.49300044775009155,-138.44876098632812,0.2674182653427124,0.7890625,1,27.4700984954834,-35.345863342285156,146.32452392578125,0.021087500000000002,0.019726562499999996,0.0,,5
45,5760,eval,0.1707148551940918,0.49300044775009155,-138.44876098632812,,,,,,,,,,0.5,5
46,5888,self,0.2799334228038788,0.5305266976356506,-138.47598266601562,0.3854018449783325,0.796875,1,27.481189727783203,-35.345863342285156,146.3406524658203,0.0188609375,0.02265625,0.0,,5
47,6016,league,0.19716022908687592,0.012229474261403084,-138.5086669921875,0.2742602229118347,0.734375,1,27.5012149810791,-35.345863342285156,146.35333251953125,-1.5625000000000109e-06,0.0,0.0,,5
48,6144,self,0.1798127442598343,0.25466135144233704,-138.53509521484375,0.23362334072589874,0.765625,1,27.514320373535156,-35.345863342285156,146.36663818359375,0.013503124999999998,0.017578125000000007,0.0,,5
49,6272,self,0.12631379067897797,0.060024477541446686,-138.57608032226562,0.2294139564037323,0.7734375,1,27.540714263916016,-35.345863342285156,146.3812255859375,0.005131250000000001,0.0109375,0.0,,5
50,6400,self,0.10819175839424133,0.03919656574726105,-138.62289428710938,0.3268222212791443,0.8203125,1,27.57140350341797,-35.345863342285156,146.39736938476562,-0.0032734374999999977,0.011718750000000002,0.0,,5
50,6400,eval,0.10819175839424133,0.03919656574726105,-138.62289428710938,,,,,,,,,,1.0,5
51,6528,self,0.23282495141029358,0.2547924816608429,-138.65513610839844,0.40172916650772095,0.8046875,1,27.594419479370117,-35.345863342285156,146.4065704345703,0.01831875,0.0166015625,0.0,,5
52,6656,league,0.17527437210083008,0.01789817214012146,-138.67559814453125,0.3310662508010864,0.8125,1,27.611129760742188,-35.345863342285156,146.41033935546875,-1.4062499999999981e-05,0.0,0.0,,5
53,6784,self,0.11533168703317642,0.18984666466712952,-138.68357849121094,0.2615564465522766,0.8359375,1,27.62319564819336,-35.345863342285156,146.40625,0.017028124999999998,0.013867187500000001,0.0,,5
54,6912,self,0.1445559859275818,0.4380439519882202,-138.68695068359375,0.26853147149086,0.8046875,1,27.629011154174805,-35.345863342285156,146.40377807617188,0.022495312500000007,0.019531250000000003,0.0,,5
55,7040,self,0.1619226336479187,0.3350245952606201,-138.68026733398438,0.28999167680740356,0.7734375,1,27.63826560974121,-35.345863342285156,146.3878631591797,0.017801562500000003,0.020312499999999997,0.0,,5
55,7040,eval,0.1619226336479187,0.3350245952606201,-138.68026733398438,,,,,,,,,,0.5,5
56,7168,league,0.14858275651931763,0.3228600323200226,-138.67762756347656,0.31705060601234436,0.796875,1,27.648151397705078,-35.345863342285156,146.37533569335938,-0.020920312499999996,0.004492187499999998,0.0,,5
57,7296,self,0.10089756548404694,0.06994165480136871,-138.68557739257812,0.2853489816188812,0.765625,1,27.66377067565918,-35.345863342285156,146.36764526367188,0.005737500000000001,0.010546874999999999,0.0,,5
58,7424,self,0.14173132181167603,0.09308084845542908,-138.67266845703125,0.22535407543182373,0.75,1,27.668901443481445,-35.345863342285156,146.34963989257812,0.007031249999999999,0.008984375000000001,0.0,,5
59,7552,self,0.1599101722240448,0.10316618531942368,-138.67080688476562,0.25478631258010864,0.7890625,1,27.671390533447266,-35.345863342285156,146.3452606201172,-0.01029375,0.008398437500000007,0.0,,5
60,7680,league,0.13135851919651031,0.11438846588134766,-138.64358520507812,0.29460152983665466,0.84375,1,27.664875030517578,-35.345863342285156,146.3245849609375,0.009968749999999998,0.0119140625,0.0,,5
60,7680,eval,0.13135851919651031,0.11438846588134766,-138.64358520507812,,,,,,,,,,1.0,5
61,7808,self,0.17629989981651306,1.4773920774459839,-138.62551879882812,0.2791461646556854,0.8203125,1,27.657344818115234,-35.345863342285156,146.31402587890625,0.031825,0.0365234375,0.0,,5
62,7936,self,0.09199319779872894,0.0323922261595726,-138.60446166992188,0.23591069877147675,0.734375,1,27.6500244140625,-35.345863342285156,146.30030822753906,-0.000696875,0.0,0.0,,5
63,8064,self,0.18812213838100433,0.0381985567510128,-138.57229614257812,0.2606769800186157,0.7890625,1,27.632896423339844,-35.345863342285156,146.28524780273438,-0.004209375000000001,0.00625,0.0,,5
64,8192,league,0.12026041746139526,0.04723849520087242,-138.55007934570312,0.30262210965156555,0.7578125,1,27.62252426147461,-35.345863342285156,146.2734375,-0.0033328125,0.0017578125000000003,0.0,,5
65,8320,self,0.19856831431388855,0.0573112852871418,-138.5390625,0.19729691743850708,0.71875,1,27.621841430664062,-35.345863342285156,146.26309204101562,0.000646874999999996,0.015039062500000002,0.0,,5
65,8320,eval,0.19856831431388855,0.0573112852871418,-138.5390625,,,,,,,,,,0.75,5
66,8448,self,0.19024132192134857,0.024945074692368507,-138.52825927734375,0.20066991448402405,0.75,1,27.612594604492188,-35.345863342285156,146.26153564453125,0.0009890625000000001,0.0015625,0.0,,5
67,8576,league,0.1549014151096344,0.3033287525177002,-138.504150390625,0.21476155519485474,0.734375,1,27.6026611328125,-35.345863342285156,146.2473602294922,0.0094625,0.022265624999999997,0.0,,5
68,8704,league,0.15885108709335327,0.08334320783615112,-138.49066162109375,0.2509705424308777,0.78125,1,27.596599578857422,-35.345863342285156,146.23992919921875,0.007126562499999999,0.008593749999999999,0.0,,5
69,8832,league,0.1947910636663437,0.29682788252830505,-138.46697998046875,0.25375646352767944,0.8125,1,27.580936431884766,-35.345863342285156,146.23191833496094,-0.010728125000000005,0.007617187500000001,0.0,,5
70,8960,self,0.12610627710819244,0.12925949692726135,-138.4290771484375,0.2003074586391449,0.7421875,1,27.56146240234375,-35.345863342285156,146.21347045898438,0.008535937500000004,0.0125,0.0,,5
70,8960,eval,0.12610627710819244,0.12925949692726135,-138.4290771484375,,,,,,,,,,0.75,5
71,9088,self,0.1525540053844452,0.029575031250715256,-138.374755859375,0.2537502348423004,0.7734375,1,27.527406692504883,-35.345863342285156,146.1931915283203,0.005365625,0.009960937500000005,0.0,,5
72,9216,self,0.14333799481391907,0.20942816138267517,-138.37283325195312,0.23021259903907776,0.7890625,1,27.526538848876953,-35.345863342285156,146.19215393066406,0.0155546875,0.019140625000000005,0.0,,5
73,9344,self,0.12773212790489197,0.04012254253029823,-138.35595703125,0.2743147015571594,0.765625,1,27.51527976989746,-35.345863342285156,146.18653869628906,-0.0009812500000000001,0.0,0.0,,5
74,9472,self,0.12934362888336182,0.2002909928560257,-138.30825805664062,0.249307781457901,0.7109375,1,27.48697280883789,-35.345863342285156,146.16714477539062,-0.016559375000000005,0.0042968749999999995,0.0,,5
75,9600,self,0.0829019770026207,0.366711288690567,-138.2789306640625,0.20111683011054993,0.71875,1,27.472007751464844,-35.345863342285156,146.1527862548828,-0.02225625,-0.00039062499999999997,0.0,,5
75,9600,eval,0.0829019770026207,0.366711288690567,-138.2789306640625,,,,,,,,,,0.25,5
76,9728,self,0.16307663917541504,0.06541763246059418,-138.22946166992188,0.23584464192390442,0.78125,1,27.44365692138672,-35.345863342285156,146.1316680908203,-0.00044687500000000006,0.010351562500000003,0.0,,5
77,9856,self,0.23951153457164764,0.23428133130073547,-138.2045440673828,0.2746126055717468,0.8125,1,27.422672271728516,-35.345863342285156,146.1277313232422,-0.018046874999999993,0.0013671875,0.0,,5
78,9984,self,0.11577291786670685,0.02921813726425171,-138.18089294433594,0.22510036826133728,0.7578125,1,27.400310516357422,-35.345863342285156,146.12643432617188,-0.00042812499999999974,0.0011718750000000002,0.0,,5
79,10112,league,0.08554854989051819,0.03067297860980034,-138.14755249023438,0.26380592584609985,0.7421875,1,27.36911964416504,-35.345863342285156,146.12429809570312,-2.3437500000000106e-05,0.0,0.0,,5
