generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
26,3328,self,0.10588885843753815,0.03507349221035838,-137.92495727539062,0.22015952691435814,0.76171875,4,27.30219841003418,-35.345863342285156,145.96862030029297,0.011430854443460703,0.1460246853530407,0.0540544455870986,0.19921875,0.705078125,0.51953125,0.003393750000000001,0.010546875,0.0,2.21875,0.578125,0.2605633802816901,0.9921875,0.0,0.2578125,0.390625,0.015625,0.0,0.3359375,0.0234375,0.0078125,0.0,0.109375,0.0,0.0,,5
27,3456,self,0.11660715006291866,0.115113016217947,-138.01982498168945,0.32991572469472885,0.8125,4,27.443171977996826,-35.345863342285156,145.92251205444336,0.017007097136229277,0.24748138710856438,0.07007296942174435,0.251953125,0.7421875,0.59375,-0.0127734375,0.005078125000000001,0.0,1.4296875,0.6640625,0.4644808743169399,0.1484375,0.0,0.1875,0.4296875,0.0,0.0,0.3828125,0.015625,0.0078125,0.0,0.0625,0.0,0.0,,5
28,3584,self,0.11390924639999866,0.011549766408279538,-138.09392166137695,0.24129906296730042,0.7734375,4,27.545336723327637,-35.345863342285156,145.8944435119629,0.011849981732666492,0.18060613051056862,0.05475444905459881,0.19140625,0.734375,0.556640625,-0.0002687500000000007,0.00234375,0.0,0.6328125,0.2265625,0.35802469135802467,0.0234375,0.0,0.171875,0.2109375,0.0,0.0,0.125,0.015625,0.0234375,0.0,0.015625,0.015625,0.0,,5
29,3712,self,0.12064264342188835,0.05118436925113201,-138.00421905517578,0.18548278138041496,0.748046875,4,27.502407550811768,-35.345863342285156,145.84767532348633,0.009516388177871704,0.12177572585642338,0.05941775254905224,0.146484375,0.712890625,0.548828125,0.0029859375000000003,0.006640625,0.0,0.921875,0.390625,0.423728813559322,0.0390625,0.0,0.1953125,0.296875,0.0078125,0.0,0.203125,0.0078125,0.0234375,0.0,0.046875,0.0,0.0,,5
30,3840,self,0.057272865902632475,0.14163681864738464,-137.78610229492188,0.20351005718111992,0.794921875,4,27.51357936859131,-35.345863342285156,145.61839294433594,0.011020077159628272,0.13218209333717823,0.05306214466691017,0.177734375,0.685546875,0.5234375,0.009675000000000003,0.013867187500000003,0.0,2.1796875,0.6171875,0.2831541218637993,0.9609375,0.0,0.1953125,0.40625,0.015625,0.0,0.3125,0.03125,0.0390625,0.0,0.1015625,0.015625,0.0,,5
30,3840,eval,0.057272865902632475,0.14163681864738464,-137.78610229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5
31,3968,league,0.08468340151011944,0.03450589254498482,-137.61344146728516,0.1967342123389244,0.72265625,4,27.497585773468018,-35.345863342285156,145.46171951293945,0.012632896425202489,0.12660803459584713,0.0524749755859375,0.201171875,0.671875,0.564453125,0.005345312500000001,0.00859375,0.0,1.59375,0.5625,0.35294117647058826,0.6328125,0.0,0.1484375,0.25,0.0078125,0.0,0.328125,0.015625,0.0390625,0.0,0.078125,0.0,0.0,,5
32,4096,self,0.11888646893203259,0.008525753393769264,-137.63977432250977,0.23615163192152977,0.76171875,4,27.534114360809326,-35.345863342285156,145.45153045654297,0.012752504320815206,0.13481632992625237,0.05344764608889818,0.21875,0.689453125,0.521484375,0.0042171875000000004,0.0041015625,0.0,1.90625,0.53125,0.2786885245901639,0.9609375,0.0,0.125,0.2890625,0.0,0.0,0.3046875,0.0625,0.0078125,0.0,0.078125,0.0,0.0,,5
33,4224,self,0.07623722963035107,0.023697576951235533,-137.91766357421875,0.18270158022642136,0.7421875,4,27.64993143081665,-35.345863342285156,145.61359405517578,0.02409202605485916,0.10418766364455223,0.05409793648868799,0.283203125,0.6796875,0.52734375,0.003550000000000001,0.005078125,0.0,1.1328125,0.375,0.3310344827586207,0.1171875,0.0,0.2265625,0.4140625,0.0,0.0,0.2265625,0.0,0.0078125,0.0,0.0390625,0.0,0.0,,5
34,4352,self,0.09482106938958168,0.04197826702147722,-138.13381576538086,0.20419470965862274,0.751953125,4,27.707414627075195,-35.345863342285156,145.77227020263672,0.010852868901565671,0.12258395180106163,0.05595465283840895,0.166015625,0.69140625,0.556640625,-0.004625000000000002,0.0,0.0,0.453125,0.234375,0.5172413793103449,0.0,0.0,0.0546875,0.1640625,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,,5
35,4480,self,0.08022933453321457,0.018422100692987442,-138.10702514648438,0.18090379983186722,0.7421875,4,27.656575679779053,-35.345863342285156,145.7963104248047,0.02009670017287135,0.113444983959198,0.05699158925563097,0.283203125,0.67578125,0.541015625,-0.0023203125000000008,0.0,0.0,0.6796875,0.3515625,0.5172413793103449,0.0078125,0.0,0.0859375,0.234375,0.0,0.0,0.1953125,0.0,0.015625,0.0,0.0078125,0.0,0.0,,5
35,4480,eval,0.08022933453321457,0.018422100692987442,-138.10702514648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5
36,4608,self,0.22458025068044662,0.012201700999867171,-138.02152252197266,0.24496842920780182,0.7578125,4,27.54611349105835,-35.345863342285156,145.8212661743164,0.011748520191758871,0.15520434267818928,0.05811437778174877,0.1796875,0.689453125,0.55859375,-0.0027109375000000007,0.0,0.0,0.5,0.2578125,0.515625,0.0,0.0,0.0625,0.1796875,0.0,0.0,0.203125,0.0,0.0078125,0.0,0.0,0.0,0.0,,5
