timestamp,generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_launched_high_prod,mean_captured_neutral,mean_captured_enemy,mean_early_home_expand,noop_rate,high_prod_target_rate,neutral_capture_rate,enemy_capture_rate,early_home_expand_per_episode,mean_target_neutral,mean_target_enemy,mean_early_neutral_attempts,mean_early_enemy_attempts,mean_early_neutral_captured,mean_early_launch_neutral_captured,target_neutral_rate,target_enemy_rate,early_neutral_attempts_per_episode,early_enemy_attempts_per_episode,early_neutral_captured_per_episode,early_launch_neutral_captured_per_episode,early_neutral_launch_to_cap_rate,mean_unknown_removal,win_rate,league_size
2026-04-24 19:57:23,50,6400,eval,-0.0077135453466326,0.013309442205354571,-3.005535840988159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,2
2026-04-24 19:57:38,51,6528,league,0.0031502139754593372,0.5034381374716759,-4.697301149368286,0.013035283423960209,0.12890625,4,3.6299206018447876,-1.539478063583374,2.6068586707115173,0.0010724683525040746,0.007778886705636978,0.001890987390652299,0.00390625,0.09375,0.017578125,0.018370312500000003,0.022460937500000003,0.0,1.7421875,1.359375,0.7802690582959642,0.0,0.0,0.0625,0.3203125,0.0,0.0078125,0.671875,0.1015625,0.0390625,0.0,0.15625,0.0234375,0.359375,0.15625,0.0234375,0.0,0.359375,0.26436781609195403,0.11494252873563218,0.017241379310344827,0.0,0.9140625,0.4453125,0.03125,0.0,0.0,0.0,0.6724137931034483,0.3275862068965517,4.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 19:58:15,52,6656,self,0.005419762339442968,0.03230701154097915,-7.165488600730896,0.018381740199401975,0.20703125,4,4.561214208602905,-1.9329769313335419,4.537251353263855,0.001329415594227612,0.012841394171118736,0.003053822088986635,0.00390625,0.1484375,0.0234375,0.005829687500000001,0.006250000000000003,0.0,2.1875,1.703125,0.7785714285714286,0.0,0.0,0.046875,0.4375,0.0078125,0.0,0.9140625,0.0390625,0.0546875,0.015625,0.2421875,0.0,0.5234375,0.109375,0.1328125,0.0,0.2578125,0.3073394495412844,0.06422018348623854,0.0779816513761468,0.0,0.7578125,0.9453125,0.0546875,0.0,0.0,0.0078125,0.44495412844036697,0.555045871559633,7.0,0.0,0.0,1.0,0.14285714285714285,0.0,,3
2026-04-24 19:59:02,53,6784,league,0.027511347085237503,0.1601044461131096,-10.321017980575562,0.021088082809001207,0.220703125,4,6.882775783538818,-2.7268781661987305,6.165120720863342,0.0018009096384048462,0.015955975046381354,0.0037743879947811365,0.00390625,0.18359375,0.03515625,0.011237499999999997,0.01074218750000001,0.0,3.0859375,2.5625,0.830379746835443,0.0,0.0,0.0390625,0.484375,0.0234375,0.0078125,1.46875,0.234375,0.0546875,0.0,0.390625,0.0078125,0.8359375,0.1796875,0.21875,0.0,0.1484375,0.32621951219512196,0.0701219512195122,0.08536585365853659,0.0,0.9453125,1.6171875,0.078125,0.0,0.0078125,0.0390625,0.36890243902439024,0.6310975609756098,10.0,0.0,1.0,5.0,0.5,0.0,,3
2026-04-24 19:59:16,54,6912,self,0.007828108267858624,0.021463334094733,-3.0529555082321167,0.008257250534370542,0.083984375,4,1.9597152173519135,-0.7869977802038193,1.8802381455898285,0.0005794150056317449,0.005873631685972214,0.0011249351082369685,0.0,0.056640625,0.0078125,0.0033859374999999996,0.00703125,0.0,0.890625,0.75,0.8421052631578947,0.0,0.0,0.0234375,0.1171875,0.0,0.0,0.3125,0.0703125,0.0234375,0.0,0.0625,0.0,0.3359375,0.0625,0.0,0.0,0.4765625,0.4479166666666667,0.08333333333333333,0.0,0.0,0.6875,0.0625,0.0234375,0.0,0.0,0.0078125,0.9166666666666666,0.08333333333333333,3.0,0.0,0.0,1.0,0.3333333333333333,0.0,,3
2026-04-24 19:59:42,55,7040,self,0.0297108325175941,0.5970169454813004,-6.336938142776489,0.03155510756187141,0.29296875,4,4.217092514038086,-1.843231588602066,3.963077425956726,0.0012212975416332483,0.031272684689611197,0.0035189264453947544,0.0,0.283203125,0.03125,-0.013912500000000005,0.0023437499999999977,0.0,2.0859375,1.65625,0.7940074906367042,0.0,0.0,0.0546875,0.375,0.0078125,0.0,0.90625,0.2421875,0.0625,0.03125,0.203125,0.046875,1.1484375,0.1171875,0.1328125,0.0,0.234375,0.6933962264150944,0.07075471698113207,0.08018867924528301,0.0,0.6015625,1.0546875,0.046875,0.0,0.0,0.0078125,0.3632075471698113,0.6367924528301887,6.0,0.0,0.0,1.0,0.16666666666666666,0.0,,3
2026-04-24 20:01:44,55,7040,eval,0.0297108325175941,0.5970169454813004,-6.336938142776489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3
2026-04-24 20:02:10,56,7168,league,-0.012098880019038916,0.03274282580241561,-4.02872097492218,0.012330090161412954,0.13671875,4,2.371361196041107,-0.9457780122756958,2.603137731552124,0.0007380420574918389,0.008353912504389882,0.0016359294531866908,0.0,0.11328125,0.013671875,-0.0016343749999999998,0.005273437500000001,0.0,1.0703125,0.9609375,0.8978102189781022,0.0,0.0,0.015625,0.09375,0.0078125,0.0,0.4765625,0.046875,0.0078125,0.0,0.1171875,0.0078125,0.2578125,0.078125,0.046875,0.0,0.3828125,0.2682926829268293,0.08130081300813008,0.04878048780487805,0.0,0.6796875,0.28125,0.0390625,0.0,0.0,0.0,0.7073170731707317,0.2926829268292683,5.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 20:02:27,57,7296,self,0.0007938419003039598,0.04779156111180782,-4.5736764669418335,0.010026753414422274,0.119140625,4,3.1597147583961487,-1.1597861349582672,2.573747754096985,0.0009424799354746938,0.007315124268643558,0.00156228372361511,0.00390625,0.09375,0.0078125,0.004914062500000001,0.0087890625,0.0,1.3125,1.171875,0.8928571428571429,0.0,0.0,0.0390625,0.1015625,0.0390625,0.0,0.46875,0.0625,0.03125,0.0,0.1484375,0.0078125,0.5625,0.09375,0.0625,0.0,0.390625,0.48,0.08,0.05333333333333334,0.0,0.71875,0.453125,0.0390625,0.0,0.0,0.0,0.6133333333333333,0.38666666666666666,5.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 20:02:41,58,7424,self,0.00411399407312274,0.028686922043561935,-3.3844209909439087,0.019419671036303043,0.201171875,4,2.414607524871826,-1.0838477611541748,2.0536611676216125,0.0007886539679020643,0.017520197667181492,0.0012073057005181909,0.0,0.193359375,0.001953125,-0.00019531249999999993,0.0048828125,0.0,1.2265625,0.984375,0.802547770700637,0.0,0.0,0.0078125,0.234375,0.0078125,0.0,0.46875,0.0390625,0.0390625,0.0,0.109375,0.015625,0.65625,0.0625,0.0625,0.0,0.359375,0.6666666666666666,0.06349206349206349,0.06349206349206349,0.0,0.3125,0.671875,0.0234375,0.0,0.0,0.0,0.31746031746031744,0.6825396825396826,3.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 20:03:25,59,7552,self,0.0023899897933006287,0.4129490256309509,-10.75238823890686,0.024947190191596746,0.283203125,4,7.702492952346802,-3.3136746883392334,6.363569736480713,0.0028254659846425056,0.01639601681381464,0.004499366390518844,0.0234375,0.201171875,0.060546875,0.023878124999999997,0.015625000000000003,0.0,3.75,2.9453125,0.7854166666666667,0.0,0.0,0.0625,0.7421875,0.0,0.0,1.4453125,0.359375,0.109375,0.0,0.328125,0.046875,1.609375,0.171875,0.203125,0.0,0.125,0.5464190981432361,0.058355437665782495,0.06896551724137931,0.0,0.9765625,1.96875,0.0625,0.0,0.0078125,0.03125,0.33156498673740054,0.6684350132625995,8.0,0.0,1.0,4.0,0.5,0.0,,3
2026-04-24 20:03:41,60,7680,league,-0.0019207983277738094,0.03170030005276203,-1.0434925258159637,0.0011068761814385653,0.0078125,4,0.6443974822759628,-0.20710467174649239,0.6061996966600418,0.00015033117961138487,0.0005890550091862679,0.00030141090974211693,0.0,0.00390625,0.0,-0.0031093749999999984,0.0011718750000000002,0.0,0.234375,0.2109375,0.9,0.0,0.0,0.0078125,0.015625,0.0,0.0,0.140625,0.0,0.0078125,0.0,0.0078125,0.0,0.125,0.0078125,0.0,0.0,0.7734375,0.5925925925925926,0.037037037037037035,0.0,0.0,0.2109375,0.0,0.015625,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 20:06:41,60,7680,eval,-0.0019207983277738094,0.03170030005276203,-1.0434925258159637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3
2026-04-24 20:07:10,61,7808,self,0.015299119055271149,0.20430973172187805,-7.136478066444397,0.013510649790987372,0.203125,4,5.075096845626831,-2.119371175765991,4.180752277374268,0.0019485256634652615,0.008860172936692834,0.00307701516430825,0.0078125,0.123046875,0.029296875,0.015745312500000004,0.012695312500000003,0.0,2.3984375,1.8515625,0.7719869706840391,0.0,0.0,0.03125,0.515625,0.0078125,0.0,0.8359375,0.140625,0.015625,0.0,0.25,0.0078125,1.1875,0.15625,0.1015625,0.0,0.2265625,0.6413502109704642,0.08438818565400844,0.05485232067510549,0.0,1.1875,0.6640625,0.03125,0.0,0.0,0.0078125,0.6413502109704642,0.35864978902953587,4.0,0.0,0.0,1.0,0.25,0.0,,3
2026-04-24 20:07:33,62,7936,league,0.0015263436362147331,0.06327208131551743,-3.6989437341690063,0.0062509768176823854,0.103515625,4,2.353438079357147,-0.8767430782318115,2.2222485542297363,0.0006531199906021357,0.004523977870121598,0.0016242580022662878,0.001953125,0.07421875,0.0078125,-0.0018624999999999991,0.004101562499999999,0.0,0.9921875,0.796875,0.8031496062992126,0.0,0.0,0.0,0.1953125,0.0078125,0.0,0.40625,0.03125,0.0078125,0.0,0.125,0.0,0.2890625,0.046875,0.078125,0.0,0.4296875,0.3627450980392157,0.058823529411764705,0.09803921568627451,0.0,0.3671875,0.4296875,0.03125,0.0,0.0,0.0,0.46078431372549017,0.5392156862745098,4.0,0.0,0.0,0.0,0.0,0.0,,3
2026-04-24 20:07:47,63,8064,league,0.020077951718121767,0.018299032002687454,-3.8843091130256653,0.007985093514434993,0.11328125,4,2.2933161854743958,-0.9664884507656097,2.5574816465377808,0.0007800748571753502,0.005207939888350666,0.0014633501414209604,0.0,0.0703125,0.009765625,0.0037015625000000017,0.006640625000000001,0.0,1.09375,1.015625,0.9285714285714286,0.0,0.0,0.015625,0.0625,0.0078125,0.0,0.5703125,0.03125,0.0234375,0.0,0.09375,0.0,0.375,0.0859375,0.0078125,0.0,0.3828125,0.36923076923076925,0.08461538461538462,0.007692307692307693,0.0,0.90625,0.109375,0.046875,0.0,0.0,0.015625,0.8923076923076924,0.1076923076923077,6.0,0.0,0.0,2.0,0.3333333333333333,0.0,,3
2026-04-24 20:08:10,64,8192,self,0.01157129486091435,0.04076039418578148,-5.420219302177429,0.014648112235590816,0.166015625,4,3.4080560207366943,-1.6085129082202911,3.6206761598587036,0.0023849367862567306,0.010590002639219165,0.0029530160827562213,0.025390625,0.109375,0.025390625,0.005243749999999999,0.009960937500000001,0.0,1.8203125,1.46875,0.8068669527896996,0.0,0.0,0.0546875,0.296875,0.015625,0.0078125,0.6640625,0.03125,0.03125,0.0,0.125,0.0078125,0.796875,0.1171875,0.015625,0.0,0.25,0.5425531914893617,0.0797872340425532,0.010638297872340425,0.0,0.921875,0.546875,0.046875,0.0,0.0078125,0.0078125,0.6276595744680851,0.3723404255319149,6.0,0.0,1.0,1.0,0.16666666666666666,0.0,,3
